,date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation,region
240,2020-07-31,190.0,75.1975,2.52667974334253,33.27495621716286,-55.75,-15.1,-16.7,-4.7,8.6,-9.2,IND
241,2020-01-31,188.0,70.87815,2.65243943302696,33.156966490299794,-53.22,-14.2,-11.7,-6.4,13.1,-6.3,IND
242,2019-07-31,183.0,68.5544,2.6694129042045,31.881533101045,-53.5,-15.6,-12.6,-0.1,12.5,-4.3,IND
243,2019-01-31,178.0,69.685,2.5543517256224,31.899641577061,-54.2,-10.7,-13.0,1.7,13.6,-7.1,IND
244,2018-07-31,173.0,68.825,2.513621503814,31.397459165154,-54.4,-13.7,-17.9,-5.8,12.3,-10.4,IND
245,2018-01-31,180.0,63.86125,2.8186106598289,34.090909090909,-46.617222351725,-1.9607621322883,-12.520786638598,0.50725428334351,27.804951780637,-2.6387333286558,IND
246,2017-07-31,178.0,64.5575,2.7572319250281,33.584905660377,-47.976756131546,-6.4679549110292,-7.8714886469383,8.6641786712559,27.05041741298,3.429339089901,IND
247,2017-01-31,170.0,68.3275,2.4880172697669,33.596837944664,-50.82969822595,-9.6742314668523,-7.9720396413334,10.181265850325,12.805791914502,-3.4194455337908,IND
248,2016-07-31,162.0,67.2,2.4107142857143,32.142857142857,-52.168367346939,-13.306403782804,-14.725096421512,-0.14864914021021,1.7192779826194,-5.1778713090599,IND
249,2016-01-31,127.0,66.8025,1.9011264548482,25.760649087221,-61.437597264741,-29.920296241357,-24.186331809526,-24.19278065746,-6.3510881053311,-22.614792668583,IND
250,2015-07-31,116.25,63.43,1.8327289925903,24.269311064718,-61.738434392688,-34.419669483825,-31.389566308687,-35.282041513986,-9.8932467799913,-27.680524564364,IND
251,2015-01-31,116.25,61.615,1.886715897103,24.269311064718,-60.6113591419,-30.080399709332,-31.015582123246,-32.191003005503,-6.5396207783462,-26.275242096771,IND
252,2014-07-31,105.0,60.08875,1.7474152815627,21.897810218978,-63.557554086284,-35.860400210961,-45.829523953558,-44.383093934691,-19.366665827073,-31.483226211978,IND
253,2014-01-31,95.0,61.845,1.5360983102919,20.544242205803,-66.781078169936,-39.441018649193,-48.02035128593,-45.029990229567,-8.0638296348062,-40.161290379897,IND
254,2013-07-31,90.0,59.98,1.5005001667222,19.751280175567,-67.070223115093,-42.900426089584,-48.294924276875,-40.847889057227,-20.416280901729,-38.953356772854,IND
255,2013-01-31,89.0,53.395,1.6668227362113,20.378276528251,-61.834859952708,-34.144084152744,-45.375667688953,-38.082987871767,-19.957090349459,-31.278134712155,IND
256,2012-07-31,89.0,56.165,1.5846167542064,20.566146735991,-63.382628441216,-36.062060854852,-42.424052810144,-40.416214744886,-35.169151914537,-32.044926356729,IND
257,2012-01-31,84.0,51.905,1.6183412002697,20.0132468634,-61.44254529737,-30.243508818632,-40.558026693539,-31.731845930924,-32.675067683408,-29.994497446363,IND
258,2011-07-31,84.0,44.4,1.8918918918919,20.664206642066,-53.4589940494,-8.3590635955403,-32.769081769932,-15.704949653524,-13.127598361432,-11.306249694749,IND
259,2010-07-31,0.0,0.0,0.0,0.0,0.0,,,,,,IND
260,2010-01-31,0.0,0.0,0.0,0.0,0.0,,,,,,IND
261,2009-07-31,0.0,0.0,0.0,0.0,0.0,,,,,,IND
262,2008-06-30,0.0,0.0,0.0,0.0,0.0,,,,,,IND
263,2007-06-30,0.0,0.0,0.0,0.0,0.0,,,,,,IND
264,2007-01-31,0.0,0.0,0.0,0.0,0.0,,,,,,IND
265,2006-05-31,0.0,0.0,0.0,0.0,0.0,,,,,,IND
266,2006-01-31,0.0,0.0,0.0,0.0,0.0,,,,,,IND
267,2005-06-30,0.0,0.0,0.0,0.0,0.0,,,,,,IND
268,2004-05-31,0.0,0.0,0.0,0.0,0.0,,,,,,IND
269,2003-04-30,0.0,0.0,0.0,0.0,0.0,,,,,,IND
270,2002-04-30,0.0,0.0,0.0,0.0,0.0,,,,,,IND
271,2001-04-30,0.0,0.0,0.0,0.0,0.0,,,,,,IND
